127.0.0.1, 2015-06-25 09:45:27, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.154975
127.0.0.1, 2015-06-25 09:45:27, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.184593
127.0.0.1, 2015-06-25 09:45:27, GET, /admin/static/_2.11.2/images/save_icon.png, HTTP/1.1, 200, 0.000508
127.0.0.1, 2015-06-25 09:45:27, GET, /rpctest/appadmin/hooks, HTTP/1.1, 200, 0.308125
127.0.0.1, 2015-06-25 09:45:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.171138
127.0.0.1, 2015-06-25 09:46:27, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077140
127.0.0.1, 2015-06-25 09:46:28, GET, /rpctest/appadmin/hooks, HTTP/1.1, 200, 1.351324
127.0.0.1, 2015-06-25 09:46:39, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.087775
127.0.0.1, 2015-06-25 09:46:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
127.0.0.1, 2015-06-25 09:46:48, GET, /admin/default/edit/rpctest/controllers/rpctest.py, HTTP/1.1, 200, 0.037650
127.0.0.1, 2015-06-25 09:46:49, GET, /admin/default/edit/rpctest/controllers/rpctest.py, HTTP/1.1, 200, 0.056037
127.0.0.1, 2015-06-25 09:46:49, GET, /favicon.ico, HTTP/1.1, 400, 0.004749
127.0.0.1, 2015-06-25 09:46:49, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.176240
127.0.0.1, 2015-06-25 09:46:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.219029
127.0.0.1, 2015-06-25 09:46:49, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.474006
127.0.0.1, 2015-06-25 09:46:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.325497
127.0.0.1, 2015-06-25 09:46:50, GET, /rpctest/appadmin/hooks, HTTP/1.1, 200, 1.736798
127.0.0.1, 2015-06-25 09:47:05, GET, /admin/default/edit/rpctest/controllers/rpctest.py, HTTP/1.1, 200, 0.139147
127.0.0.1, 2015-06-25 09:47:07, GET, /admin/default/edit/rpctest/controllers/rpctest.py, HTTP/1.1, 200, 0.034805
127.0.0.1, 2015-06-25 09:47:09, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.098460
127.0.0.1, 2015-06-25 09:47:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2015-06-25 09:47:18, GET, /admin/default/delete/rpctest/controllers/rpctest.py, HTTP/1.1, 200, 0.058780
127.0.0.1, 2015-06-25 09:47:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000713
127.0.0.1, 2015-06-25 09:47:20, POST, /admin/default/delete/rpctest/controllers/rpctest.py, HTTP/1.1, 303, 0.028982
127.0.0.1, 2015-06-25 09:47:20, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.082241
127.0.0.1, 2015-06-25 09:47:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
127.0.0.1, 2015-06-25 09:47:28, POST, /admin/default/create_file, HTTP/1.1, 303, 0.032515
127.0.0.1, 2015-06-25 09:47:28, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.089877
127.0.0.1, 2015-06-25 09:47:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2015-06-25 09:47:30, GET, /admin/default/peek/rpctest/controllers/rpc.py, HTTP/1.1, 200, 0.043722
127.0.0.1, 2015-06-25 09:47:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000331
127.0.0.1, 2015-06-25 09:47:34, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.097861
127.0.0.1, 2015-06-25 09:47:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.086865
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 304, 0.000985
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 304, 0.000354
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 304, 0.005838
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000933
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001975
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.002290
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.003498
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.004320
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001838
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 304, 0.002895
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002641
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/images/search.png, HTTP/1.1, 304, 0.001783
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/js/bootstrap.min.js, HTTP/1.1, 304, 0.002010
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/images/test_icon.png, HTTP/1.1, 304, 0.002177
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/images/help.png, HTTP/1.1, 304, 0.001297
127.0.0.1, 2015-06-25 09:48:44, GET, /admin/static/_2.11.2/images/delete_icon.png, HTTP/1.1, 304, 0.003698
127.0.0.1, 2015-06-25 09:48:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2015-06-25 09:49:02, GET, /admin/default/peek/rpctest/controllers/rpc.py, HTTP/1.1, 200, 0.032884
127.0.0.1, 2015-06-25 09:49:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2015-06-25 09:49:04, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.087708
127.0.0.1, 2015-06-25 09:49:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2015-06-25 09:49:44, GET, /admin/default/peek/rpctest/controllers/rpc.py, HTTP/1.1, 200, 0.032097
127.0.0.1, 2015-06-25 09:49:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2015-06-25 09:49:49, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.136352
127.0.0.1, 2015-06-25 09:49:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2015-06-25 09:50:28, GET, /rpctest/rpc/hello, HTTP/1.1, 200, 0.183533
127.0.0.1, 2015-06-25 09:50:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001748
127.0.0.1, 2015-06-25 09:50:31, GET, /admin/default/design/rpctest, HTTP/1.1, 200, 0.113382
127.0.0.1, 2015-06-25 09:50:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2015-06-25 09:50:42, GET, /rpctest/rpc/userid, HTTP/1.1, 200, 0.136524
127.0.0.1, 2015-06-25 09:50:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000796
127.0.0.1, 2015-06-25 09:52:51, GET, /rpctest/rpc/userid, HTTP/1.1, 200, 0.041737
127.0.0.1, 2015-06-25 09:52:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000752
127.0.0.1, 2015-06-25 09:54:31, GET, /rpctest/rpc/hello, HTTP/1.1, 200, 0.037625
127.0.0.1, 2015-06-25 09:54:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000796
127.0.0.1, 2015-06-25 09:56:22, GET, /rpctest/rpc/call/run/echo/hallo, HTTP/1.1, 200, 0.141668
127.0.0.1, 2015-06-25 09:56:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000754
127.0.0.1, 2015-06-25 09:57:25, GET, /, HTTP/1.1, 303, 0.000548
127.0.0.1, 2015-06-25 09:57:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.484158
127.0.0.1, 2015-06-25 09:57:28, GET, /admin/default/index, HTTP/1.1, 303, 0.004339
